,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
156,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.67,50000000.0,0.22077941965396766,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
168,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.67,25000000.0,0.22077941965396766,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
177,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.71,110000000.0,0.21897948153895047,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
179,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.6687,25000000.0,0.22083791764270572,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
180,NEW,Credit:Index:CDX:CDXHY,Trade,C,UC,1.0713,50000000.0,0.20272154051505767,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
184,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.68,30000000.0,0.22032943512521339,"(-0.0721, 0.721]",0.5327281629316637,"(28600004.35, 30800004.3]"
247,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.6675,100000000.0,0.22089191578615622,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
249,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.666875,110000000.0,0.22092003981920338,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
531,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.617,110000000.0,0.22316433765636545,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
539,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.7025,110000000.0,0.21931696993551622,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
592,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.605625,3000000.0,0.2236761950578235,"(-0.0721, 0.721]",1.0135240038591637,"(2200004.95, 4400004.9]"
593,CANCEL,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.605625,3000000.0,0.2236761950578235,"(-0.0721, 0.721]",1.0135240038591637,"(2200004.95, 4400004.9]"
649,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.623413,110000000.0,0.22287576257807531,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
707,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,UC,0.73,49000000.0,0.21807951248144186,"(0.721, 1.442]",0.19439034894564514,"(48400003.9, 50600003.85]"
715,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,UC,0.72,50000000.0,0.2185294970101962,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
722,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,UC,0.72,50000000.0,0.2185294970101962,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
724,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,UC,0.72,50000000.0,0.2185294970101962,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
